Name 希腊报纸 #2

Interactability_Text_Line_0 Estevao总统宣布全国进入紧急状态
Interactability_Text_Line_1 ---
Interactability_Text_Line_2 5月26日，星期五
Interactability_Text_Line_3 ---
Interactability_Text_Line_4 “为了保护我们的公民, 我宣布全国马上进入紧急状态。”
Interactability_Text_Line_5 昨天，被特种部队护送的Estevao总统在离开之前宣布全国进入了紧急状态。
Interactability_Text_Line_6 被留下来的Yevgeni总理对这种状况提供了有限的答案。
Interactability_Text_Line_7 “这是确保我们国家免受席卷全球的流行病的第一步；我们正在采取一切可能的措施来保证每个人的安全。”
Interactability_Text_Line_8 当记者Peter Lyosha问及紧急状态在何时解除时，Yevgeni总理表示：“目前我们还无法确定解除的时间。”
Interactability_Text_Line_9 他还呼吁大家“保持冷静，像往常一样继续生活。”，除此之外，他对其他问题无可奉告。
