Name 山峰笔记 - 黑社会的计划

Interactability_Text_Line_0 联盟基地攻占概述
Interactability_Text_Line_1 --翻译来自贴吧的Amazing_2486--
Interactability_Text_Line_2 够了。我们将要把3支利刃插入在此驻扎的联盟心脏，并永远地把他们赶出这里。
Interactability_Text_Line_3 ---
Interactability_Text_Line_4 队伍 A
Interactability_Text_Line_5 因为城里丧尸密集的情况，他们把防爆门紧闭，所以我们不会从那里进入。然而桥的入口就是另一回事了，这里的门大部分时间下都是开启的。在他们反应过来之前，你的小队将驾车同时通过桥两边的入口，并从立交桥上为其他小队提供掩护火力。
Interactability_Text_Line_6 ---
Interactability_Text_Line_7 队伍 B
Interactability_Text_Line_8 下水道系统是不设防的，这样你的团队就可以溜进去，给他们一个惊喜-重重地攻击他们。
Interactability_Text_Line_9 ---
Interactability_Text_Line_10 队伍 C
Interactability_Text_Line_11 你的团队将假扮成幸存者进入城市内的基地主要入口避难。你们不能偷运进很多武器，但当混乱开始时，你们就可以从内部发起进攻。
