Name 希腊记录——无线电干扰

Interactability_Text_Line_0 06:07:11 -
Interactability_Text_Line_1 检查点Zeta, 这里是检查点Epsilon，进行无线电测试，完毕。
Interactability_Text_Line_2 06:07:43 -
Interactability_Text_Line_3 检查点Epsilon，这里是检查点Zeta, 数据接收完整（5/5），完毕。
Interactability_Text_Line_4 06:08:01 - 
Interactability_Text_Line_5 我们无法使用安全频道与司令部通信。你能建立连接吗？完毕。
Interactability_Text_Line_6 06:08:18 - 
Interactability_Text_Line_7 正在尝试，检查点Zeta，请稍等，完毕。
Interactability_Text_Line_8 06:13:07 - 
Interactability_Text_Line_9 检查点Epsilon，这里是检查点Zeta，能听到我说话吗？完毕。
Interactability_Text_Line_10 06:13:36 - 
Interactability_Text_Line_11 检查点Zeta，这里是检查点Epsilon，我们听到了。能建立连接吗？完毕。
Interactability_Text_Line_12 06:13:54 - 
Interactability_Text_Line_13 不能。只能听见干扰声。我不知道发生了什么，但我有一种不祥的预感，完毕。
Interactability_Text_Line_14 06:14:16 - 
Interactability_Text_Line_15 Zeta收到了。保持之前的命令，但每30分钟进行一次通讯。不要让感染者进入城市，现在我们可能要靠自己了。完毕。
Interactability_Text_Line_16 06:14:25 - 
Interactability_Text_Line_17 遵命！结束通讯。
